Breeding_season,Nest,Female_ID,Female_age,Clutch_size,Laying_gap,Day_of_inc,First_egg_lay_date,Inc_start_date,Obs_date,Obs_start_time,Obs_Av_daily_temp_celcius,Inc_period_length_days,Total_on_bout_duration,Total_on_bout_duration_seconds,Total_off_bout_duration,Total_obs_length_minutes,Total_obs_length_seconds,On_bout_proportion
2019/2020,B21/4,CP13061,1,3,0,13,10/11/2019,12/11/2019,25/11/2019,11:15:07,16.72542974,15,01:13:37,4417,00:58:33,79,4740,0.93185654
2019/2020,B22/1A,CP13554,1,4,0,1,20/11/2019,23/11/2019,24/11/2019,13:31:00,16.77855774,14,00:09:39,579,00:44:11,61,3660,0.158196721
2019/2020,B22/1A,CP13554,1,4,0,13,20/11/2019,23/11/2019,05/12/2019,11:12:50,17.28930305,14,00:14:18,858,00:05:23,67,4020,0.213432836
2019/2020,B22/2,CP13521,1,4,0,7,24/11/2019,06/11/2019,04/12/2019,12:25:37,18.05990033,N/A,00:49:13,2953,00:26:35,150.9666667,9058,0.326010157
2019/2020,B22/21,CP13055,1,1,0,7,06/11/2019,06/11/2019,13/11/2019,12:55:53,11.94487338,N/A,00:18:39,1119,00:26:07,62,3720,0.300806452
2019/2020,B22/23,CP12980,2,5,0,1,02/12/2019,06/12/2019,06/12/2019,12:21:28,17.76485294,14,00:02:38,158,00:06:04,73,4380,0.036073059
2019/2020,B22/25,CP13437,1,4,0,1,02/11/2019,05/11/2019,07/11/2019,13:47:00,17.67597239,15,00:13:53,833,00:29:02,63,3780,0.22037037
2019/2020,B22/25,CP13437,1,4,0,3,02/11/2019,05/11/2019,07/11/2019,13:47:00,17.67597239,15,00:46:20,2780,00:13:40,60,3600,0.772222222
2019/2020,B22/28,CP12941,2,4,0,1,03/12/2019,06/12/2019,07/12/2019,12:15:55,18.18735825,14,00:11:30,690,00:22:52,70,4200,0.164285714
2019/2020,B22/30,CP9214,4,4,0,2,01/11/2019,04/11/2019,05/11/2019,12:33:00,16.12916613,14,00:17:49,1069,00:28:38,60,3600,0.296944444
2019/2020,B22/30,CP9214,4,4,0,8,01/11/2019,04/11/2019,12/11/2019,10:06:59,14.34224529,14,00:15:34,934,00:23:30,93,5580,0.167383513
2019/2020,B22/30,CP9214,4,4,0,13,01/11/2019,04/11/2019,18/11/2019,14:23:12,16.81427965,14,00:00:00,0,01:37:48,57,3420,0
2019/2020,B22/37,CP13445,1,4,1,7,11/11/2019,15/11/2019,22/11/2019,09:47:52,14.40416606,14,00:07:36,456,00:39:55,65,3900,0.116923077
2019/2020,B22/37,CP13445,1,4,1,13,11/11/2019,15/11/2019,28/11/2019,09:32:03,18.11960264,14,00:00:00,0,00:03:11,140,8400,0
2019/2020,B22/4,CP13527,1,4,0,1,24/11/2019,27/11/2019,28/11/2019,11:46:38,18.11960264,14,00:07:17,437,00:26:22,60,3600,0.121388889
2019/2020,B22/4,CP13527,1,4,0,7,24/11/2019,27/11/2019,04/12/2019,11:05:03,18.05990033,14,00:13:16,796,00:22:20,82,4920,0.161788618
2019/2020,B22/9,CP13003,2,3,N/A,1,05/12/2019,07/12/2019,09/12/2019,12:37:21,17.95104454,15,00:47:29,2849,00:35:18,67,4020,0.708706468
2019/2020,B23/7,CP9232,4,4,0,2,29/11/2019,02/12/2019,04/12/2019,13:59:28,18.05990033,15,00:03:42,222,00:31:42,85,5100,0.043529412
2019/2020,B23/7,CP9232,4,4,0,7,29/11/2019,02/12/2019,09/12/2019,11:36:22,17.95104454,15,00:06:41,401,00:02:18,73,4380,0.091552511
2019/2020,B23/8,CP11802,3,4,0,1,04/11/2019,07/11/2019,08/11/2019,13:29:00,16.73678583,15,00:42:11,2531,01:41:53,149.4333333,8966,0.282288646
2019/2020,B23/8,CP11802,3,4,0,2,04/11/2019,07/11/2019,08/11/2019,13:29:00,16.73678583,15,01:46:40,6400,00:33:19,149.4333333,8966,0.713807718
2019/2020,B23/8,CP11802,3,4,0,7,04/11/2019,07/11/2019,14/11/2019,10:32:41,16.09596223,15,00:38:15,2295,00:23:43,59,3540,0.648305085
2019/2020,B23/8,CP11802,3,4,0,13,04/11/2019,07/11/2019,20/11/2019,12:38:00,13.51665639,15,00:00:00,0,00:10:32,70,4200,0
2019/2020,B3/1,CP12981,2,4,0,7,11/11/2019,14/11/2019,21/11/2019,15:01:35,16.25176913,15,00:33:23,2003,00:09:09,42.53333333,2552,0.784874608
2019/2020,B3/1,CP12981,2,4,0,13,11/11/2019,14/11/2019,27/11/2019,11:01:32,17.28785701,15,00:20:42,1242,00:21:46,61,3660,0.339344262
2019/2020,B3/10,CP11865,3,3,1,1,01/11/2019,04/11/2019,06/11/2019,16:08:00,16.74275963,15,00:16:13,973,00:18:07,64,3840,0.253385417
2019/2020,B3/10,CP11865,3,3,1,7,01/11/2019,04/11/2019,11/11/2019,11:03:28,15.46997091,15,00:08:43,523,00:14:37,60.55,3633,0.143958161
2019/2020,B3/10,CP11865,3,3,1,13,01/11/2019,04/11/2019,17/11/2019,14:24:00,15.76832268,15,00:00:00,0,00:05:00,11,660,0
2019/2020,B4/1,CP8183,5,4,0,13,05/11/2019,08/11/2019,21/11/2019,16:36:03,16.25176913,14,00:08:42,522,00:10:48,61,3660,0.142622951
2019/2020,B4/5,CP13417,1,4,0,1,21/11/2019,25/11/2019,26/11/2019,13:45:57,16.66493324,14,00:00:00,0,00:04:34,33.51666667,2011,0
2019/2020,B6/2,CP9223,4,4,0,3,28/10/2019,31/10/2019,02/11/2019,12:32:00,13.65576801,14,00:14:14,854,00:15:49,70.8,4248,0.201035782
2019/2020,B6/2,CP9223,4,4,0,7,28/10/2019,31/10/2019,07/11/2019,11:06:40,17.67597239,14,00:37:29,2249,00:43:00,64,3840,0.585677083
2019/2020,B6/2,CP9223,4,4,0,13,28/10/2019,31/10/2019,13/11/2019,10:40:00,11.94487338,14,00:07:17,437,00:10:23,59.91666667,3595,0.121557719
2019/2020,B6/4,CP12972,2,4,0,1,02/12/2019,05/12/2019,06/12/2019,17:09:12,17.76485294,14,00:00:00,0,00:05:26,9.133333333,548,0
